problem,click_depth,filter_depth,iterative_distance,number_filters,query_frequency,relevant_new_info,number_measures,consideration_time,elapsed_time,number_cells,rqp,iterative_precision,click_per_query,view_area_increase,execution_time,number_aggregations,aggregation_depth,iterative_recall,number_queries,expected
dibstudent03--2016-09-25--15-42.log-49,1.1498866499,1.1562200311,1.2766257917,2.7315723019,-0.1275883756,0.3204833236,1.0632520095,-0.2668493725,0.0025833506,-0.0981927742,1.2118447973,-0.7620717898,1.0148384605,-0.1444585767,-0.0716095026,0.7085619708,0.1428393326,0.956849521,1.0944271413,1
dibstudent03--2016-09-25--15-42.log-5,0.4432365413,-0.3753098313,-0.2094252255,-0.488242589,0.9899195387,-1.100854877,-0.1105679236,-0.3356764365,-0.8980836616,-0.2271356339,-1.4146579919,-1.1869082721,-0.291077698,-0.0665937505,-0.0522590676,-0.2836421386,-0.8412725695,-1.1503836119,-1.0660311939,0
dibstudent03--2016-09-25--15-42.log-50,0.9143366137,0.9206000523,-0.2094252255,2.3738150918,-0.12543325,0.2670278284,1.0632520095,0.4043615681,0.0163453405,-0.1312550459,1.2715380426,0.9372741394,0.3618803812,-0.1444585767,-0.1280482712,0.7085619708,0.1428393326,0.4300412378,1.1435284671,1
dibstudent03--2016-09-25--15-42.log-51,0.6787865775,0.9206000523,-0.7047755645,2.3738150918,-0.1477917172,0.2670278284,1.0632520095,-0.2013256455,0.0888941645,-0.1312550459,1.3312312878,0.9372741394,0.3618803812,-0.1444585767,0.0420743028,0.7085619708,0.1428393326,0.956849521,1.1926297929,1
dibstudent03--2016-09-25--15-42.log-52,0.4432365413,0.9206000523,-0.7047755645,2.3738150918,-0.1477221475,0.2670278284,1.0632520095,0.0583860328,0.108279516,-0.1312550459,1.390924533,0.9372741394,0.3618803812,-0.1444585767,-0.1469955721,0.7085619708,0.1428393326,0.956849521,1.2417311187,1
dibstudent03--2016-09-25--15-42.log-53,0.2076865051,0.9206000523,-0.7047755645,2.3738150918,-0.1561644477,-0.7523491963,1.0632520095,-0.3790421628,0.1506883258,-0.1808484535,1.4506177782,0.9372741394,0.3618803812,-0.1444585767,0.004179701,0.7085619708,0.1428393326,-0.0967670454,1.2908324445,1
dibstudent03--2016-09-25--15-42.log-54,-0.0278635311,0.9206000523,-0.7047755645,2.3738150918,-0.1504214843,-0.7523491963,1.0632520095,-0.4082744332,0.1547373556,-0.1808484535,1.5103110234,0.9372741394,0.3618803812,-0.1444585767,-0.1215981263,0.7085619708,0.1428393326,0.956849521,1.3399337703,1
dibstudent03--2016-09-25--15-42.log-55,-0.2634135673,0.9206000523,-0.2094252255,2.3738150918,-0.1437439732,-0.4144931561,-1.2843878567,-0.4103861556,0.1561481035,-0.1808484535,1.5700042686,-1.1869082721,-0.6175567376,-0.1444585767,-0.1530425831,0.7085619708,0.1428393326,-1.1503836119,1.3890350961,1
dibstudent03--2016-09-25--15-42.log-56,-0.4989636035,0.9206000523,-0.7047755645,2.3738150918,-0.1370147276,-0.4144931561,-1.2843878567,-0.4118040263,0.1573756374,-0.1808484535,1.6296975138,0.9372741394,-0.6175567376,-0.1444585767,-0.1530425831,0.7085619708,0.1428393326,0.956849521,1.4381364219,1
dibstudent03--2016-09-25--15-42.log-57,-0.7345136397,0.9206000523,-0.7047755645,2.3738150918,-0.1302530736,-0.4144931561,-1.2843878567,-0.4242933554,0.1584788475,-0.1808484535,1.689390759,0.9372741394,-0.6175567376,-0.1444585767,-0.1534457171,0.7085619708,0.1428393326,0.956849521,1.4872377477,1
